Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.14140000000000003,0.005314132102233806,0.144,0.135,0.15,0.141,0.137
1,1.686,0.13807389326009453,1.845,1.591,1.864,1.56,1.57
2,1.876,0.17712255644045005,2.097,1.758,2.086,1.697,1.742
3,2.1374,0.19092155457150514,2.359,2.086,2.28,1.806,2.156
4,2.3302,0.17052202203820757,2.585,2.256,2.448,2.09,2.272
5,2.4076,0.1289195097725707,2.597,2.368,2.503,2.228,2.342
6,2.4564,0.10827852972773681,2.602,2.394,2.539,2.293,2.454
7,2.4834,0.08225958910667795,2.591,2.433,2.561,2.368,2.464
8,2.5064,0.08500023529378554,2.619,2.413,2.58,2.41,2.51
9,2.5084,0.08898449303108671,2.617,2.423,2.617,2.439,2.446
10,2.5176000000000003,0.07658616062970589,2.615,2.467,2.607,2.452,2.447
11,2.524,0.08191947265455547,2.63,2.446,2.617,2.475,2.452
12,2.5178,0.08496681705230909,2.638,2.446,2.602,2.469,2.434
13,2.5168,0.08025309962861618,2.634,2.435,2.592,2.463,2.46
14,2.5256,0.07552906725228546,2.623,2.466,2.613,2.461,2.465
15,2.5206,0.07480267374900747,2.62,2.459,2.604,2.461,2.459
16,2.5208,0.07702570999348773,2.617,2.463,2.613,2.451,2.46
17,2.5257999999999994,0.074689758334076,2.63,2.471,2.602,2.45,2.476
18,2.5262000000000002,0.07944910320450033,2.64,2.46,2.604,2.451,2.476
19,2.529,0.07592628003531168,2.628,2.464,2.61,2.443,2.5
20,2.5268,0.07273623581132455,2.624,2.465,2.603,2.447,2.495
21,2.5278,0.07336865815864688,2.624,2.465,2.607,2.448,2.495
22,2.5268,0.07403620735828662,2.624,2.465,2.606,2.444,2.495
23,2.524,0.07418355612938413,2.624,2.465,2.599,2.437,2.495
24,2.5258000000000003,0.07428970318959469,2.624,2.465,2.604,2.441,2.495
25,2.5256,0.07496025613617464,2.624,2.465,2.605,2.439,2.495
26,2.5244,0.07773441966079397,2.624,2.465,2.608,2.43,2.495
27,2.5230000000000006,0.07626532632852852,2.624,2.465,2.601,2.43,2.495
28,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
29,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
30,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
31,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
32,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
33,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
34,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
35,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
36,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
37,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
38,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
39,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
40,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
41,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
42,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
43,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
44,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
45,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
46,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
47,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
48,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
49,2.5246000000000004,0.07795024053842198,2.624,2.465,2.609,2.43,2.495
